id,lat,lon,user,uid,version,changeset,timestamp
25457954,37.1582245,-121.6574737,KindredCoda,14293,10,11686320,2012-05-24T03:24:59Z
26028729,37.378997,-122.0154986,fennecfoxen,100744,8,794494,2009-03-12T01:07:47Z
26065098,37.3850636,-122.0348055,oba510,933797,19,41607115,2016-08-22T06:17:10Z
26392429,37.350384,-121.83831,KindredCoda,14293,17,6885217,2011-01-06T18:22:10Z
26404794,37.205747,-121.7171857,KindredCoda,14293,14,11721513,2012-05-27T23:43:57Z
26497327,37.2267448,-121.9747724,oldtopos,169004,26,12095476,2012-07-03T00:28:52Z
26497392,37.1540884,-121.985494,calfarome,2511706,38,49540581,2017-06-14T20:34:14Z
26506889,37.201275,-121.9924082,n76,318696,44,20404510,2014-02-06T00:30:51Z
26507003,37.1270503,-121.9751261,stevea,123633,43,4670597,2010-05-11T17:37:13Z
30181417,37.418759,-122.0252203,Bike Mapper,74705,3,7251834,2011-02-11T03:41:53Z
31416661,37.2995571,-122.0304065,KindredCoda,14293,27,6777154,2010-12-27T12:46:32Z
32618065,37.3648441,-122.0194928,wallclimber21,81024,2,2730893,2009-10-04T02:16:26Z
32817449,37.3182056,-121.9810551,KindredCoda,14293,33,8233296,2011-05-24T09:00:12Z
33104740,37.3350113,-121.8973989,Icycle,55482,13,770557,2008-11-20T00:13:29Z
33373955,37.3781075,-122.0126822,mk408,201724,8,7124511,2011-01-29T17:07:57Z
33619231,37.3640375,-122.0326781,adbrown,54598,10,755914,2008-11-16T09:09:58Z
33784157,37.3844476,-121.9720487,andygol,94578,31,46746884,2017-03-10T19:17:55Z
35855151,37.3205539,-121.9638515,andygol,94578,32,46751561,2017-03-10T22:34:52Z
36692491,37.2375259,-121.7732647,andygol,94578,9,39266586,2016-05-12T12:58:12Z
52153063,37.2637842,-121.9498481,KindredCoda,14293,16,6845511,2011-01-03T01:15:17Z
53019898,37.4673969,-121.8987058,woodpeck_fixbot,147510,3,2498408,2009-09-16T05:12:41Z
53096989,37.4629788,-121.9103166,StellanL,28775,7,22953729,2014-06-15T23:01:27Z
53149884,37.4616484,-121.9114885,wallclimber21,81024,6,12623584,2012-08-05T17:40:50Z
60434617,37.3913018,-121.9763241,Vlad,24247,6,26385866,2014-10-28T11:59:29Z
65377611,37.4438439,-121.9138365,StellanL,28775,4,29170482,2015-03-01T06:20:54Z
65377960,37.3546824,-121.777067,beddy,3207726,4,36883455,2016-01-29T17:10:11Z
65379090,37.3622693,-121.9622589,woodpeck_fixbot,147510,3,2817765,2009-10-11T18:34:13Z
65379980,37.4265583,-121.7805678,wallclimber21,81024,3,9691058,2011-10-30T07:57:16Z
65381004,37.2356187,-121.9552902,doug_sfba,1796809,6,35958524,2015-12-15T03:33:00Z
65381416,37.4522173,-121.8089601,Luis36995,1829683,3,45115812,2017-01-12T20:25:02Z
65381978,37.2491801,-121.8054179,ChrisZontine,1376118,4,18287174,2013-10-10T19:45:28Z
65382565,37.3844048,-121.8613509,Luis36995,1829683,5,36820563,2016-01-26T16:45:22Z
65383194,37.4354772,-121.8871249,KindredCoda,14293,7,8241686,2011-05-25T06:07:00Z
65383567,37.404879,-122.0154098,StellanL,28775,7,28196530,2015-01-16T21:38:50Z
65383751,37.1541475,-121.6690145,StellanL,28775,4,24497719,2014-08-02T12:44:49Z
65384214,37.3216219,-121.9957127,woodpeck_fixbot,147510,5,3424990,2009-12-22T06:32:00Z
65384479,37.453523,-121.825532,woodpeck_fixbot,147510,2,2817765,2009-10-11T18:34:55Z
65384604,37.2624,-121.7281542,woodpeck_fixbot,147510,4,2817765,2009-10-11T18:34:57Z
65385242,37.217467,-121.6790379,woodpeck_fixbot,147510,4,2817765,2009-10-11T18:35:05Z
65385746,37.3133929,-121.6576578,wallclimber21,81024,4,15719299,2013-04-14T01:26:46Z
65386058,37.1884096,-121.7627719,woodpeck_fixbot,147510,3,3424990,2009-12-22T06:32:10Z
65386480,37.3748368,-121.890393,woodpeck_fixbot,147510,4,2817765,2009-10-11T18:35:16Z
65387042,37.4055202,-122.0006079,Minh Nguyen,33757,5,49659855,2017-06-19T08:12:05Z
65387529,37.296562,-121.8401022,woodpeck_fixbot,147510,5,3424990,2009-12-22T06:32:14Z
65388069,37.4092583,-122.0007298,KindredCoda,14293,8,6778271,2010-12-27T14:38:44Z
65388393,37.334189,-121.680176,woodpeck_fixbot,147510,4,3424990,2009-12-22T06:32:17Z
65388816,37.3990074,-121.6327822,piligab,3877019,3,44965315,2017-01-06T20:30:49Z
65389053,37.2663274,-122.0077188,Bike Mapper,74705,4,20324372,2014-02-01T21:29:30Z
65389424,37.2547386,-121.8819985,Bike Mapper,74705,5,16664165,2013-06-23T04:49:12Z
65389900,37.304526,-121.8172978,Telecas,202256,5,33456859,2015-08-20T08:19:45Z
65390398,37.3980897,-121.8754957,KindredCoda,14293,10,6885412,2011-01-06T18:31:02Z
65390573,37.2234771,-121.928298,dannykath,2226712,4,49539775,2017-06-14T20:05:05Z
65390789,37.426636,-121.614657,woodpeck_fixbot,147510,2,2817765,2009-10-11T18:35:53Z
65391242,37.3718583,-121.9020729,oldtopos,169004,6,12113396,2012-07-04T18:22:25Z
65391798,37.2782096,-121.8768948,Bike Mapper,74705,7,17026556,2013-07-20T18:43:44Z
65392313,37.3355175,-122.0410856,ryandrake,1214881,4,15075090,2013-02-18T10:01:37Z
65392819,37.4241664,-121.7918266,nmixter,55774,3,27663375,2014-12-24T02:16:05Z
65393161,37.134095,-121.958585,woodpeck_fixbot,147510,2,3424990,2009-12-22T06:32:39Z
65393626,37.2951934,-121.8413032,mk408,201724,4,6984485,2011-01-16T06:58:25Z
65394133,37.3413606,-122.0362558,richlv,47892,5,13769152,2012-11-06T05:16:16Z
65394613,37.3422096,-121.9246855,Minh Nguyen,33757,9,32109891,2015-06-21T05:38:42Z
65395362,37.3664128,-121.8916896,StellanL,28775,6,26269217,2014-10-23T01:59:11Z
65396065,37.4178836,-121.9632195,user_634020,634020,5,20527489,2014-02-12T19:53:23Z
65396415,37.3314196,-121.7339205,woodpeck_fixbot,147510,3,2817765,2009-10-11T18:36:59Z
65396980,37.322155,-122.0276675,matthieun,595221,5,29705445,2015-03-24T15:06:45Z
65397394,37.2609418,-121.8192011,Alexander Avtanski,79401,5,9462382,2011-10-03T17:35:52Z
65397905,37.2550788,-121.8562552,woodpeck_fixbot,147510,5,3424990,2009-12-22T06:33:01Z
65398666,37.3011547,-121.8196422,Luis36995,1829683,8,36861180,2016-01-28T17:25:43Z
65399018,37.1510775,-121.8487189,mk408,201724,3,3656621,2010-01-19T07:57:50Z
65399292,37.2147354,-121.9893939,stevea,123633,4,4282469,2010-03-31T04:51:26Z
65399591,37.331122,-121.74445,woodpeck_fixbot,147510,2,2817765,2009-10-11T18:37:25Z
65400183,37.3434026,-121.8468351,KindredCoda,14293,7,6885830,2011-01-06T19:52:35Z
