id,key,value,type
26497327,ref,20B,regular
26497327,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,regular
26497327,exit_to,SR-9;Los Gatos;Saratoga,regular
26497327,highway,motorway_junction,regular
33784157,highway,motorway_junction,regular
33784157,ref,393,regular
33784157,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/101.pdf,regular
65381004,highway,turning_circle,regular
65383751,highway,turning_circle,regular
65384604,power,tower,regular
65388393,power,tower,regular
65389424,highway,turning_circle,regular
65391242,ref,4C,regular
65391242,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eighteightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eighteightysouth.pdf,regular
65391242,exit_to,US-101 North;San Francisco,regular
65391242,highway,motorway_junction,regular
65398666,exit_to,US 101 S,regular
65398666,highway,motorway_junction,regular
65414170,highway,traffic_signals,regular
65416587,highway,turning_circle,regular
65421560,source,Yahoo,regular
65421560,highway,turning_circle,regular
65422821,highway,turning_circle,regular
65423903,noexit,yes,regular
65428710,highway,turning_circle,regular
65432254,source,Bing,regular
65432254,highway,turning_circle,regular
65433064,highway,turning_circle,regular
65433267,highway,stop,regular
65436212,highway,turning_circle,regular
65437119,highway,turning_circle,regular
65438875,highway,turning_circle,regular
65440052,highway,turning_circle,regular
65440564,highway,turning_circle,regular
65440973,highway,turning_circle,regular
65444016,highway,turning_circle,regular
65449257,highway,turning_circle,regular
65449462,highway,turning_circle,regular
65451036,lanes,2,regular
65451036,highway,turning_circle,regular
65451036,surface,asphalt,regular
65456068,highway,turning_circle,regular
65457535,highway,turning_circle,regular
65457815,highway,turning_circle,regular
65458934,highway,turning_circle,regular
65460904,highway,turning_circle,regular
65461077,highway,turning_circle,regular
65461697,highway,turning_circle,regular
65464201,highway,turning_circle,regular
65467032,highway,turning_circle,regular
65468932,highway,turning_circle,regular
65469141,noexit,yes,regular
65470482,highway,turning_circle,regular
65471399,highway,traffic_signals,regular
65472095,noexit,yes,regular
65481919,highway,turning_circle,regular
65485353,source,Yahoo,regular
65485353,highway,tur
